Year,GDP
1960,36535925031
1961,38709096076
1962,41599070242
1963,47776000900
1964,55726873084
1965,58760424670
1966,45253641303
1967,49466168891
1968,52377324284
1969,57668330026
1970,61589800520
1971,66452561866
1972,70509913049
1973,84374541630
1974,98198276857
1975,97159222024
1976,1.01347E+11
1977,1.19867E+11
1978,1.35469E+11
1979,1.50951E+11
1980,1.8384E+11
1981,1.9091E+11
1982,1.98038E+11
1983,2.15351E+11
1984,2.09328E+11
1985,2.2941E+11
1986,2.45665E+11
1987,2.75311E+11
1988,2.92633E+11
1989,2.92093E+11
1990,3.16697E+11
1991,2.66502E+11
1992,2.84364E+11
1993,2.7557E+11
1994,3.2291E+11
1995,3.55476E+11
1996,3.87656E+11
1997,4.1032E+11
1998,4.15731E+11
1999,4.527E+11
2000,4.62147E+11
2001,4.78965E+11
2002,5.08069E+11
2003,5.99593E+11
2004,6.99689E+11
2005,8.08901E+11
2006,9.20317E+11
2007,1.20111E+12
2008,1.18695E+12
2009,1.32394E+12
2010,1.65662E+12
2011,1.82305E+12
2012,1.82764E+12
2013,1.85672E+12
2014,2.03913E+12
2015,2.10239E+12
2016,2.27423E+12
2017,2.59749E+12
